Week,DPR no.,Report Date,Medium,Source ID ,Source title ,Source type,Content provider,No. of Correction,Pub year,Volume ,Issue,Article/Iss,Article title,Type of request,Correction Field,Correction Type,Missing/Error,CAR Supplier
Week-4,180122-001463,22-Jan-18,Journal,666926245,Matematiche,J,Universita di Catania,-,2017,72,1,Issue,-,MC,Whole issue missing,Missing content,-,Thomson Digital
Week-4,180121-002299,21-Jan-18,Journal,78172099,Crystal Growth and Design,J,E-flow ACS (American Chemical Society),-,2017,17,12,Article,New Tricks by Old Anions: Hydrogen Bonded Hexacyanoferrous Anionic Networks,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180120-003925,20-Jan-18,Journal,78497199,International Journal of Environmental Research and Public Health,J,MDPI AG,-,2018,15,1,Article,Atmospheric Environment Vulnerability Cause Analysis for the Beijing-Tianjin-Hebei Metropolitan Region,MC,Single Article missing,Missing content,-,Spi
Week-4,180120-004176,20-Jan-18,Journal,79138099,Journal of Clinical and Diagnostic Research,J,Journal of Clinical and Diagnostic Research,-,2018,12,1,Article,Music Induced Emotion and Music Processing in the Brain– A Review,MC,Single Article missing,Missing content,-,Spi
Week-4,180121-002320,21-Jan-18,Journal,77036799,"Ecology, Environment and Conservation",J,EM International,-,2017,23,3,Article,Corporate environmental policy as an image-building resource for enterprises within the nuclear power industry,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180121-002201,21-Jan-18,Journal,77036799,"Ecology, Environment and Conservation",J,EM International,-,2017,23,3,Article,Exploration method of potash and magnesium salts of the complex structure at great depths,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180121-002178,21-Jan-18,Journal,77036799,"Ecology, Environment and Conservation",J,EM International,-,2017,23,3,Article,Forming an indicative collection of spring wheat Kasib 1-16 by the resistance to diseases,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180121-002296,21-Jan-18,Journal,77036799,"Ecology, Environment and Conservation",J,EM International,-,2017,23,3,Article,The results of Nile tilapia (Oreochromis niloticus L.) breeding in pond farm of Almaty region using locally made experimental productive food,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180121-002148,21-Jan-18,Journal,77036799,"Ecology, Environment and Conservation",J,EM International,-,2017,23,3,Article,Development of efficient production and processing of forest products,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180121-002456,21-Jan-18,Journal,77036799,"Ecology, Environment and Conservation",J,EM International,-,2017,23,3,Article,Agrotechnical and chemical methods of weeds control in the vegetable crop rotation link,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180121-002579,21-Jan-18,Journal,77036799,"Ecology, Environment and Conservation",J,EM International,-,2017,23,2,Article,Constitutional distinctions of wrist dynamometry in female students depending on their regional social and environmental living conditions,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-003143,22-Jan-18,Journal,635341000,Bioengineered,J,E-flow Taylor and Francis,-,2018,9,1,Issue,-,MC,Whole issue missing,Missing content,-,Spi
Week-4,180120-002061,20-Jan-18,Journal,78739199,Man in India,J,Serials Publications,-,2017,97,26,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-4,180120-002060,20-Jan-18,Journal,79161199,Journal of Environmental Protection and Ecology,J,E-flow PDF Scibulcom Ltd,-,2017,18,4,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Hydrogen evolution activity enhancement by tuning the oxygen vacancies in self-supported mesoporous spinel oxide nanowire arrays,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Unique role of non-mercapto groups in thiol-pinningmediated Ag growth on Au nanoparticles,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,In situ atomic-scale analysis of Rayleigh instability in ultrathin gold nanowires,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Triboelectric nanogenerator based on magnetically induced retractable spring steel tapes for efficient energy harvesting of large amplitude motion,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Domain-engineered BiFeO3 thin-film photoanodes for highly enhanced ferroelectric solar water splitting,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Solvent-dependent evolution of cyclic penta-twinned rhodium icosahedral nanocrystals and their enhanced catalytic properties,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,"Selective oxidation mediated synthesis of unique SexTey nanotubes, their assembled thin films and photoconductivity",MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Gold nanoshells: Contrast agents for cell imaging by cardiovascular optical coherence tomography,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Asymmetric growth of Au-core/Ag-shell nanorods with a strong octupolar plasmon resonance and an efficient second-harmonic generation,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Atomic disorders in layer structured topological insulator SnBi2Te4 nanoplates,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Three-layer phosphorene-metal interfaces,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,High-performance multilayer WSe2 field-effect transistors with carrier type control,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Enhanced electrical and optical properties of singlelayered MoS2 by incorporation of aluminum,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Chemically doped macroscopic graphene fibers with significantly enhanced thermoelectric properties,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Defective molybdenum sulfide quantum dots as highly active hydrogen evolution electrocatalysts,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Enhanced stabilization of inorganic cesium lead triiodide (CsPbI3) perovskite quantum dots with tri-octylphosphine,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Copper nanowire/multi-walled carbon nanotube composites as all-nanowire flexible electrode for fast-charging/ discharging lithium-ion battery,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,"Construction of Pd-M (M = Ni, Ag, Cu) alloy surfaces for catalytic applications",MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Highly sensitive and rapidly responding room-temperature NO2 gas sensors based on WO3 nanorods/sulfonated graphene nanocomposites,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Morphology-dependent catalytic properties of nanocupric oxides in the Rochow reaction,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Facile preparation of pristine graphene using urea/glycerol as efficient stripping agents,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,"Self-templating thermolysis synthesis of Cu2–xS@M (M = C, TiO2, MoS2) hollow spheres and their application in rechargeable lithium batteries",MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Two-photon lithography for 3D magnetic nanostructure fabrication,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Thickness-dependent phase transition and optical behavior of MoS2 films under high pressure,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Atomic and electronic structure of Si dangling bonds in quasi-free-standing monolayer graphene,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Mesoporous H-ZSM-5 nanocrystals with programmable number of acid sites as “solid ligands” to activate Pd nanoparticles for C–C coupling reactions,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,High-mobility air-stable n-type field-effect transistors based on large-area solution-processed organic singlecrystal arrays,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Electrosprayed porous Fe3O4/carbon microspheres as anode materials for high-performance lithium-ion batteries,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,50 ppm of Pd dispersed on Ni(OH)2 nanosheets catalyzing semi-hydrogenation of acetylene with high activity and selectivity,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Peptide self-assembly into lamellar phases and the formation of lipid-peptide nanostructures,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Acid-degradable gadolinium-based nanoscale coordination polymer: A potential platform for targeted drug delivery and potential magnetic resonance imaging,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,DNA-directed assembly of copper nanoblocks with inbuilt fluorescent and electrochemical properties: Application in simultaneous amplification-free analysis of multiple RNA species,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,"Uniform and reproducible plasmon-enhanced fluorescence substrate based on PMMA-coated, large-area Au@Ag nanorod arrays",MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Embedding ZnSe nanodots in nitrogen-doped hollow carbon architectures for superior lithium storage,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Photocatalytic H2 evolution improvement for H free-radical stabilization by electrostatic interaction of a Cu-BTC MOF with ZnO/GO,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Hierarchical coral-like NiMoS nanohybrids as highly efficient bifunctional electrocatalysts for overall urea electrolysis,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Oxidation layering mechanism of graphene-like MoS2 prepared by the intercalation-detonation method,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Vapor-phase hydrothermal growth of single crystalline NiS2 nanostructure film on carbon fiber cloth for electrocatalytic oxidation of alcohols to ketones and simultaneous H2 evolution,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Entropy-driven self-assembly of chiral nematic liquid crystalline phases of AgNR@Cu2O hyper branched coaxial nanorods and thickness-dependent handedness transition,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Highly sensitive hybrid nanofiber-based room-temperature CO sensors: Experiments and density functional theory simulations,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Ultrasound-triggered release of sinoporphyrin sodium from liposome-microbubble complexes and its enhanced sonodynamic toxicity in breast cancer,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Ultrasensitive detection of Ebola matrix protein in a memristor mode,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Mitochondria-targeting self-assembled nanoparticles derived from triphenylphosphonium-conjugated cyanostilbene enable site-specific imaging and anticancer drug delivery,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Single ultrasmall Mn2+-doped NaNdF4 nanocrystals as multimodal nanoprobes for magnetic resonance and second near-infrared fluorescence imaging,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Visible light-driven superoxide generation by conjugated polymers for organic synthesis,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Facile in situ growth of highly dispersed palladium on phosphotungstic-acid-encapsulated MIL-100(Fe) for the degradation of pharmaceuticals and personal care products under visible light,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,CVD growth of fingerprint-like patterned 3D graphene film for an ultrasensitive pressure sensor,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Robust 3D network architectures of MnO nanoparticles bridged by ultrathin graphitic carbon for high-performance lithium-ion battery anodes,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Discharge voltage behavior of electric double-layer capacitors during high-g impact and their application to autonomously sensing high-g accelerometers,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Integrative square-grid triboelectric nanogenerator as a vibrational energy harvester and impulsive force sensor,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Erratum to: Epitaxial growth of hyperbranched Cu/Cu2O/CuO core–shell nanowire heterostructures for lithium-ion batteries,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-002165,20-Jan-18,Journal,79582899,Nano Research,J,E-Flow Springer,-,2018,11,2,Article,Erratum to: Mitochondria-targeting self-assembled nanoparticles derived from triphenylphosphoniumconjugated cyanostilbene enable site-specific imaging and anticancer drug delivery,MC,Single Article missing,Missing content,-,SPI
Week-4,180120-001071,20-Jan-18,Journal,77665399,Applied Physics A: Materials Science and Processing,J,E-Flow Springer,-,2018,124,2,Article,Optoelectrical properties of Ge10Se90 and Ge10Se85Cu5 thin films illuminated by laser beams,MC,Single Article missing,Missing content,-,SPI
Week-4,180122-006526,22-Jan-18,Journal,77111399,Geophysical Journal International,J,E-flow Oxford University Press,-,2017,211,1,Article,Subduction and vertical coastal motions in the eastern Mediterranean,MC,Single Article missing,Missing content,-,Thomson Digital
Week-4,180122-007477,22-Jan-18,Journal,78659599,Journal of Systematic Palaeontology,J,E-flow Taylor and Francis,-,2018,16,5,Article,"Discoradius, a new name for the genus Heteractis Gabb & Horn, 1862 (Cheilostomata, Bryozoa), junior homonym of Heteractis Milne-Edwards & Haime, 1851 (Cnidaria, Actiniaria)",MC,Single Article missing,Missing content,-,Spi
Week-4,180122-006865,22-Jan-18,Journal,77616199,Advanced Materials,J,E-flow Wiley Blackwell,-,2018,30,3,Article,Influence of Radiation on the Properties and the Stability of Hybrid Perovskites,MC,Single Article missing,Missing content,-,Spi
Week-4,180122-006525,22-Jan-18,Journal,661922422,International Journal of Engineering and Technology(UAE),J,Science Publishing Corporation Inc,-,2018,7,-,Article,Coalesce based binary table: an enhanced algorithm for mining frequent patterns,MC,Single Article missing,Missing content,-,Thomson Digital
Week-4,180122-005830,22-Jan-18,Journal,659777205,Health Psychology Open,J,E-Flow Sage Publications,-,2017,4,2,Article,Associations of Thalassemia Major and satisfaction with quality of life: The mediating effect of social support,MC,Single Article missing,Missing content,-,Spi
Week-4,180121-002286,21-Jan-18,Journal,79787799,Turkish Online Journal of Educational Technology,J,Sakarya University,-,2017,2017,-,Article,Mobile Learning Perception Scale: A Short Version for the Italian Context,MC,Single Article missing,Missing content,-,Spi
Week-4,180122-006810,22-Jan-18,Journal,79255999,Journal of Mazandaran University of Medical Sciences,J,Mazandaran University of Medical Sciences,-,2016,25,133,Article,Relationship between MRI Measurements of the Pons and Corpus Callosum and Prognosis of Motor Dysfunction in Children with Periventricular Leukomalacia ,MC,Single Article missing,Missing content,-,Spi
Week-4,180122-006878,22-Jan-18,Journal,79600799,Iranian Journal of Child Neurology,J,Iranian Child Neurology Society,-,2015,9,4,Issue,-,MC,Whole issue missing,Missing content,-,Spi
Week-4,180120-001582,20-Jan-18,Journal,290219199,Journal of Advanced Research in Dynamical and Control Systems,J,"Institute of Advanced Scientific Research, Inc.",-,2017,9,-,Article,Polarity Detection of Lexicon based Sentiment Analysis with Negation Handling,MC,Single Article missing,Missing content,-,Spi
Week-4,180120-001832,20-Jan-18,Journal,79817499,Transylvanian Review,J,Center Transylvanian Studies,-,2017,25,17,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-4,180120-001832,20-Jan-18,Journal,78488099,Journal of Research in Medical Sciences,J,Isfahan University of Medical Sciences(IUMS),-,2017,22,1,Article,Effect of Nepeta bracteata Benth. on allergic rhinitis symptoms: A randomized double?blind clinical trial,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-003227,22-Jan-18,Journal,661922422,International Journal of Engineering and Technology(UAE),J,Science Publishing Corporation Inc,-,2018,7,1.1,Article,GVF snake algorithm - a parallel approacha,MC,Single Article missing,Missing content,-,Thomson Digital
Week-4,180122-017081,22-Jan-18,Journal,628892905,International Journal of Economics and Business Research,J,E-flow Inderscience,-,2018,15,1,Issue,-,MC,Whole issue missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013976,22-Jan-18,Journal,77720299,Persoonia: Molecular Phylogeny and Evolution of Fungi,J,Nationaal Herbarium Nederland,-,2017,39,-,Issue,-,MC,Whole issue missing,Missing content,-,SPI
Week-4,180122-013769,22-Jan-18,Journal,79628999,Journal of Engineering and Applied Sciences,J,Medwell Journals,-,2017,12,14,Article,Power Quality Enhancement in Wind Energy Conversion System using PID Based D-STATCOM,MC,Single Article missing,Missing content,-,Thomson Digital
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,The algebras of bounded and essentially bounded Lebesgue measurable functions,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Diophantine approximations and almost periodic functions,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Multiplication operators on the space of functions of bounded variation,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Note on strict contractive conditions and common xed point theorems with application,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Rate of Convergence for Ibragimov-Gadjiev-Durrmeyer Operators,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Rate of convergence of Szász-beta operators based on q-integers,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,On generalized Baskakov-Durrmeyer-Stancu type operators,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Approximation Properties of Ibragimov-Gadjiev-Durrmeyer Operators on Lp (R+),MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Approximation by q-analogue of modied Jakimovski-Leviatan-Stancu type operators,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Some xed point results on G-metric and Gb-metric spaces,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Multivariate and abstract approximation theory for Banach space valued functions,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,An alternative and easy approach to xed point results via simulation functions,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,A dimensional restriction for a class of contact manifolds,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Two properties of Müntz spaces,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Derivatives of a polynomial of best approximation and modulus of smoothness in generalized Lebesgue spaces with variable exponent,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,A note on range-kernel uncomplementation,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Lp-potentials on innite networks,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Norm estimates for functions of non-selfadjoint operators nonregular on the convex hull of the spectrum,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Common xed point theorems via generalized condition (B) in quasi-partial metric space and applications,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,P-connectedness in topological spaces,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
Week-4,180122-013407,22-Jan-18,Journal,277492599,Demonstratio Mathematica,J,Warsaw University of Technology,-,2017,50,1,Article,Second order evolution equations with nonlocal conditions,MC,Single Article missing,Missing content,-,Innodata Isogen Inc
